kota/kabupaten,nama_sekolah,kategori_sekolah_adiwiyata
Jakarta Barat,MiN 11 Pegadungan ,Peraih tingkat Provinsi
Jakarta Barat,SMPN 111,Peraih tingkat Provinsi
Jakarta Barat,MTs.N 12 ,Peraih tingkat Provinsi
Jakarta Barat,SDN Kebon Jeruk 04,Peraih tingkat Provinsi
Jakarta Barat,SDN Tomang 11,Peraih tingkat Provinsi
Jakarta Barat,SDN Jelambar 03,Peraih tingkat Provinsi
Jakarta Barat,SDN Cengkareng Timur 21,Peraih tingkat Provinsi
Jakarta Barat,SDN Semanan 04,Peraih tingkat Provinsi
Jakarta Barat,SDN Meruya Utara 02,Peraih tingkat Provinsi
Jakarta Barat,SDN Palmerah 25,Peraih tingkat Provinsi
Jakarta Pusat,SMPN 216,Peraih tingkat Provinsi
Jakarta Barat,SDN Sukabumi Selatan 01,Peraih tingkat Provinsi
Jakarta Barat,SDN Slipi 07 ,Peraih tingkat Provinsi
Jakarta Barat,SDN Tomang 08 ,Peraih tingkat Provinsi
Jakarta Barat,SMPN 271 ,Peraih tingkat Provinsi
Jakarta Barat,SMAN 65 ,Peraih tingkat Provinsi
Jakarta Barat,SMAN 95,Peraih tingkat Provinsi
Jakarta Barat,SDN Kebon Jeruk 06,Peraih tingkat Provinsi
Jakarta Barat,SDN Duri Kepa 11,Peraih tingkat Provinsi
Jakarta Barat,SDN Kebon Jeruk 10,Peraih tingkat Provinsi
Jakarta Barat,SDN Tanjung Duren Utara 02,Peraih tingkat Provinsi
Jakarta Barat,SDN Duri Kepa 05,Peraih tingkat Provinsi
Jakarta Barat,SDN Tanjung Duren Utara 06,Peraih tingkat Provinsi
Jakarta Barat,SDN Kelapa Dua 01 ,Peraih tingkat Provinsi
Jakarta Barat,SDN Sukabumi Selatan 06,Peraih tingkat Provinsi
Jakarta Barat,SDN Kebon Jeruk 17,Peraih tingkat Provinsi
Jakarta Barat,SDN Kelapa Dua 06 ,Peraih tingkat Nasional
Jakarta Barat,SMKN 60,Peraih tingkat Nasional
Jakarta Barat,SMPN 207 ,Peraih tingkat Nasional
Jakarta Barat,SMPN 82 ,Peraih tingkat Nasional
Jakarta Barat,SDN Sukabumi Selatan 07,Peraih tingkat Nasional
Jakarta Barat,MAN 16,Peraih tingkat Nasional
Jakarta Barat,SDN Jelambar 08,Peraih tingkat Nasional
Jakarta Barat,SMPN 248,Peraih tingkat Nasional
Jakarta Barat,SMPN 220 ,Peraih tingkat Nasional
Jakarta Barat,SDN Kebon Jeruk 01,Peraih tingkat Nasional
Jakarta Barat,SDN Kebon Jeruk 08,Peraih tingkat Nasional
Jakarta Barat,SDN Sukabumi Utara 01,Peraih tingkat Nasional
Jakarta Barat,SDN Tanjung Duren Selatan 01,Peraih tingkat Nasional
Jakarta Barat,SDN Wijaya Kusuma 05 ,Peraih tingkat Nasional
Jakarta Barat,SDN 11 Kebon Jeruk,Peraih tingkat Mandiri
Jakarta Barat,SMAN 78,Peraih tingkat Mandiri
Jakarta Barat,SDN 02 Wijaya Kusuma,Peraih tingkat Mandiri
Jakarta Barat,SDN Pegadungan 11 ,Peraih tingkat Mandiri
Jakarta Barat,SMAN 23 ,Peraih tingkat Mandiri
Jakarta Barat,SMPN 249,Peraih tingkat Mandiri
Jakarta Barat,SDN Sukabumi Selatan 05,Peraih tingkat Kota
Jakarta Barat,SDN Kebon Jeruk 02,Peraih tingkat Kota
Jakarta Barat,SDN Duri Kepa 03,Peraih tingkat Kota
