Gangguan Ketenteraman dan KetertibanJalan,1164
Pohon,1767
Kurikulum dan Kegiatan Sekolah      ,1549
Tutup Saluran,7
Saluran Air(Kali/Sungai),161
Taman,382
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),69
Sampah,761
Pendataan Kesehatan,486
Perizinan Bidang Lingkungan Hidup   ,43
Hubungan Kepegawaian,20
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,40
Transportasi Publik,4
Parkir liar,477
Pelayanan Administrasi,901
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,28
Jaringan Listrik,265
Orang Hilang,547
Pelayanan Perhubungan,4
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,475
Arus Lalu Lintas,20
Perizinan Bidang Tenaga Kerja       ,800
Penyandang Masalah Kesejahteraan Sosial (PMKS),8
Jembatan,68
Perizinan Bidang Ketenteraman( Ketertiban dan Perlindungan Masyarakat),64
Jaringan Komunikasi,195
Permasalahan Siswa,65
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian) PendudukPerizinan Bidang Perumahan dan Kawasan Permukiman,4
Komunikasi Pemerintah,6
Penanganan Banjir,37
Sumur Resapan,27
Trotoar,2101
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,8
Jaringan Air Bersih,796
Tata Ruang dan Bangunan,42
Perizinan Bidang Kesehatan,137
KTP Elektronik (KTP-el),193
Dokumen Administrasi Kependudukan   ,21
Pemberdayaan Perempuan,14
Keluhan Pelayanan,28
Bantuan Sosial,2
Ganguan dan Sisa Proyek,65
Hewan Peliharaan,336
Penataan dan Pengembangan Wilayah   ,5
Rumah Susun/Hunian Vertikal,7
Imunisasi,20
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU)      ,44
Puskesmas,18
UMKM,53
Reklame,19
Perdagangan,9
Pencemaran lingkungan,30
Penyakit Masyarakat,14
Fasilitas Olahraga,38
Ruang Publik Terpadu Ramah Anak (RPTRA),5
Koperasi,22
