Gangguan Ketenteraman dan KetertibanTaman,863
Penanganan Kebakaran,34
Perizinan Bidang Perumahan dan Kawasan Permukiman,34
Pelayanan Perhubungan,35
Tutup Saluran,319
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,61
Jaringan Listrik,303
Arus Lalu Lintas,501
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),536
Sampah,604
Pohon,367
Jalan,1286
Parkir liar,1929
Pungutan Liar,388
Fasilitas Olahraga,69
Perizinan Bidang Kesehatan,23
Tata Ruang dan Bangunan,40
Perizinan Bidang Ketenteraman(Ketertiban dan Perlindungan Masyarakat),190
Saluran Air(Kali/Sungai),156
Puskesmas,449
Perizinan Bidang Penanaman Modal    ,11
Bantuan Sosial,34
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,108
Penyandang Masalah Kesejahteraan Sosial (PMKS),18
Reklame,19
Penataan dan Pengembangan Wilayah   ,63
Lembaga Kemasyarakatan,24
Usaha Hiburan dan Rekreasi,10
Lokasi Binaan dan Lokasi Sementara  ,6
Jaringan Komunikasi,5
Penanganan Banjir,82
Perizinan Bidang Pekerjaan Umum dan ,213
Penataan Ruang,20
Jaringan Air Bersih,161
Pajak Bumi dan Bangunan (PBB)       ,6
Trotoar,206
Pembebasan lahan,12
Batas Wilayah,43
Transportasi Publik,109
Komunikasi Pemerintah,28
Rumah Susun/Hunian Vertikal,52
Perizinan Bidang Perhubungan        ,6
Demam Berdarah Dengue (DBD),8
Pencemaran lingkungan,51
Dokumen Administrasi Kependudukan   ,10
Perizinan Bidang Sosial,3
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian PendudukKeluhan Pelayanan),3
Ruang Publik Terpadu Ramah Anak (RPTRA),32
Perizinan Bidang Lingkungan Hidup   ,12
Kearsipan,17
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,3
Bantuan Pendidikan,2
Perizinan Bidang Pendidikan,13
Jembatan,5
Pendataan Kesehatan,41
Perizinan Bidang KUMKMP,14
Kurikulum dan Kegiatan Sekolah      ,5
Perdagangan,3
Perizinan Bidang Perdagangan        ,6
Hubungan Pekerja-Pengusaha,7
Sembilan Bahan Pokok,19
Prasarana dan Sarana Penanggulangan ,3
Kebakaran,11
Taman Pemakaman Umum (TPU),14
Sanitasi dan Keamanan Pangan        ,1
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,15
Gedung sekolah,8
Sertifikat atau Dokumen Kepemilikan ,4
Konflik Sosial,5
Jaminan Kesehatan Nasional (JKN) berupa Kartu Indonesia Sehat (KIS)/BPJS Kesehatan,8
UMKM,7
Hewan Tak Berpemilik,5
Perizinan Bidang Pertanahan yang menjadi kewenangan Daerah,24
Akta Kelahiran,6
Perizinan Bidang Tenaga Kerja       ,8
Kartu Keluarga (KK),3
KTP Elektronik (KTP-el),21
Tempat Wisata,5
Imunisasi,4
Industri Kecil dan Menengah,2
Penyelamatan,9
Hewan Peliharaan,5
Penataan Permukiman (Kampung Deret/Bedah Rumah),5
Bahan Bakar Minyak,5
Pelayanan Administrasi,7
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU)      ,8
RSUD,5
Penyakit Masyarakat,4
Pendidikan Anak Usia Dini (PAUD)    ,1
Kepemudaan,1
Bahan Bakar Gas,1
Pemberdayaan masyarakat,2
Tindakan Asusila,4
Pemberdayaan Perempuan,2
Pendaftaran Peserta Didik,2
Perlindungan Anak,4
Perizinan Bidang Kepemudaan dan Olahraga,2
Kegiatan Seni dan Budaya,1
Permasalahan Siswa,2
Rumah Potong Hewan,1
Statistik Daerah,1
Hubungan Kepegawaian,10
Bea Perolehan Hak atas Tanah dan Bangunan (BPHTB),2
Energi,4
Konseling Keluarga,1
Koperasi,1
Sertifikasi Guru,1
Ambulans Gawat Darurat,1
Keluhan Sarana dan Prasarana pada Gedung Pemeritahan,1
Ganguan dan Sisa Proyek,1
Sumur Resapan,1
Perpustakaan,1
Perlindungan Korban Tindak KekerasanJaringan Listrik,1
Parkir Liar,412
Keluhan Fasilitas Gedung Pemda (sekolah/kantor),436
Gangguan dan Kebisingan,267
Rusun/Hunian Vertikal,241
Sampah,38
Konflik Sosial,344
Pencemaran Lingkungan,24
PDAM/PAM,68
Tata Ruang dan Bangunan,104
PMKS (Penyandang Masalah Kesejahteraan Sosial),161
Keluhan Pelayanan,19
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan (PPSU),191
Perizinan,102
Hubungan Kepegawaian,135
Kawasan Dilarang Merokok,8
Tutup Saluran,337
Pajak Bumi dan Bangunan (PBB)/BPHTB ,32
PKL Liar,7
Taman,58
Pertanahan,30
Pelayanan Kesehatan,10
Guru/Pendidik dan Tenaga Kependidikan,28
Jaringan/Menara Telekomunikasi      ,4
Keluhan Galian/Sisa Proyek,50
Lembaga/Organisasi Kemasyarakatan   ,17
Perlengkapan Lalu Lintas,16
Jembatan/JPO/Halte,55
Fasilitasi Kerjasama/Kolaborasi Pemda DKI,43
Satwa Liar,20
KTP-el,8
Reklame/Spanduk,5
Kegiatan dan Kurikulum Pendidikan   ,29
RPTRA,3
Perdagangan/UMKM,7
PAUD (Pendidikan Anak Usia Dini)    ,4
Layanan Administrasi Kependudukan   ,1
Fasilitas dan Layanan Olahraga      ,4
Hubungan Pekerja-Pengusaha,27
Layanan Administrasi Kependudukan Orang Asing,9
Orang Hilang,1
Sanitasi dan Kesehatan Pangan       ,1
Lokasi PKL Binaan,2
TPU (Tempat Pemakaman Umum),3
BPJS Kesehatan/KIS,1
Pengolahan Ikan,3
Demam Berdarah Dengue (DBD),1
Pendaftaran (PPDB),3
Keluhan Bahan Pokok,1
Jak Wifi,1
