Gangguan Ketenteraman dan Ketertiban,6467
Jaringan Listrik,5590
Penyakit Masyarakat,51
Hewan Peliharaan,29
Jalan,16107
Trotoar,3521
Sampah,3252
Parkir liar,4207
Pencemaran lingkungan,511
Pohon,10509
Pekerja Penanganan Prasarana dan Sarana Umum Kelurahan,3619
Tata Ruang dan Bangunan,1260
Taman,513
Fasilitas Sosial/Fasilitas Umum (Fasos/Fasum),5536
Reklame,877
Pelayanan Perhubungan,2856
Jaringan Komunikasi,833
Penanganan Kebakaran,239
Kurikulum dan Kegiatan Sekolah,39
Perizinan Bidang Perumahan dan Kawasan Permukiman,340
Perizinan Bidang Kesehatan,100
Saluran Air(Kali/Sungai),3361
Tutup Saluran,772
Jaringan Air Bersih,852
Sumur Resapan,93
Perizinan Bidang Tenaga Kerja,36
Arus Lalu Lintas,4764
Lokasi Binaan dan Lokasi Sementara,202
Penyandang Masalah Kesejahteraan Sosial (PMKS),313
Perizinan Bidang Pekerjaan Umum dan Penataan Ruang,401
Pendataan Kesehatan,105
Perizinan Bidang Ketenteraman(Ketertiban dan Perlindungan Masyarakat),1574
Pungutan Liar,413
Perizinan Bidang Lingkungan Hidup,124
Hubungan Kepegawaian,87
Fasilitas Pendidikan Milik Pemerintah Pusat/Swasta,33
Transportasi Publik,1722
Penataan dan Pengembangan Wilayah,196
Fasilitas Olahraga,117
Penyelamatan,75
Fasilitas Kesehatan Milik Pusat/Swasta/Klinik Swasta,157
Pelayanan Administrasi,77
Penanganan Banjir,3798
Industri Kecil dan Menengah,8
Perizinan Bidang Pendidikan,37
Pelayanan Bidang Penanggulangan Kebakaran dan Penyelamatan,181
Orang Hilang,12
Puskesmas,111
Perizinan Bidang Penanaman Modal,114
RSUD,45
Akta Kelahiran,58
Hubungan Pekerja-Pengusaha,135
Keluhan Pelayanan,231
Bantuan Sosial,1071
Gedung sekolah,99
Akta Perkawinan,6
Komunikasi Pemerintah,162
Jembatan,323
Hewan Tak Berpemilik,20
Konflik Sosial,49
Perlindungan Anak,25
Permasalahan Siswa,13
Batas Wilayah,218
Internal Dinas Pemberdayaan(Perlindungan Anak dan Pengendalian Penduduk),19
Lembaga Kemasyarakatan,32
Usaha Hiburan dan Rekreasi,23
Kartu Jakarta Pintar (KJP) / Kartu Jakarta Mahasiswa Unggul (KJMU),162
Ruang Publik Terpadu Ramah Anak (RPTRA),92
Pemberdayaan Perempuan,19
KTP Elektronik (KTP-el),90
Taman Pemakaman Umum (TPU),103
Pajak Bumi dan Bangunan (PBB),91
Bahan Bakar Gas,6
Dokumen Administrasi Kependudukan,99
Bantuan Pendidikan,155
Demam Berdarah Dengue (DBD),79
Rumah Susun/Hunian Vertikal,269
Sertifikat atau Dokumen Kepemilikan,62
Prasarana dan Sarana Penanggulangan Kebakaran,112
Pembebasan lahan,63
UMKM,40
Perizinan Bidang Perhubungan,51
